0	13315  0
1	13307  12689
2	13324  12721
3	13300  12784
4	13381  12730
5	13341  12745
6	13278  12679
7	13550  12866
8	13019  12494
9	13330  12695
10	13229  12572
11	13646  13006
12	13044  12486
13	13552  12923
14	13531  12877
15	13231  12722
16	13115  12460
17	13515  12837
18	13088  12397
19	13348  12706
20	13100  12460
21	13362  12786
22	13515  12870
23	13413  12803
24	13319  12760
25	13320  12741
26	13148  12550
27	13259  12748
28	13156  12631
29	13359  12810
30	13203  12675
31	13520  12821

0	
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	

