0    71280.74   69527.45
4    71059.19   69379.63
8    70631.93   53117.25
12   68611.25   45551.25
16   67119.63   38893.48
20   66178.63   34417.78
24   65151.12   31435.78
28   63937.12   28746.21
32   62988.31   26623.65
